"objectid","filename","title","format","subject (objektyp)","location","object_classification","custody","source","registration_number","description","latitude","longitude","","","","","","","","",""
"coll010.1","IMG_10.1.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6260","Buddha head with closed eyes, long earlobe, urna, not separated usnisa, small damage, front view","","","","","","","","","","",""
"coll010.2","IMG_10.2.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6260","Buddha head with closed eyes, long earlobe, urna, not separated usnisa, small damage, side view","","","","","","","","","","",""
"coll010.3","IMG_10.3.jpg","Buddha head","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6260","Buddha head with closed eyes, long earlobe, urna, not separated usnisa, small damage, side view","","","","","","","","","","",""
"coll012","IMG_12.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, front view","","","","","","","","","","",""
"coll012.1","IMG_12.1.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, view from above","","","","","","","","","","",""
"coll012.2","IMG_12.2.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, side view","","","","","","","","","","",""
"coll012.3","IMG_12.3.jpg","Smiling Buddha","image/jpeg","stucco relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6262","Buddha head with closed eyes, not separated usnisa, urna, damaged material, side view","","","","","","","","","","",""
"coll013","IMG_13.jpg","Bodhisattva with holy threads ","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, front view","","","","","","","","","","",""
"coll013.1","IMG_13.1.jpg","Bodhisattva with holy threads","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, side view","","","","","","","","","","",""
"coll013.2","IMG_13.2.jpg","Bodhisattva with holy threads","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, side view","","","","","","","","","","",""
"coll013.3","IMG_13.3.jpg","Bodhisattva with holy threads","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6270","Bodhisattva upper body and head with hair with a central chignon of schematic stacked coils, male dress with paridhana and uttariya, half-closed eyes, damaged material, view from above","","","","","","","","","","",""
"coll014","IMG_14.jpg","Bodhisattva in diamond seat","image/jpeg","relief","Gandhara","sculpture","Museum Forum der Völker, Werl","Museum Forum der Völker, Werl","6271","Bodhisattva seated in pensive position with right leg crossed over left, closed eyes, hair with central chignon of schematic stacked coils, male dress with paridhana and uttariya, nimbus, gesture of reassurance, side view","","","","","","","","","","",""
